field,age_floor,age_ceiling,sex,n,mean,sd
maxcranwidth,3,3.5,1,9,140.22,5.19
maxcranwidth,3,3.5,3,22,136.45,5.89
minfrntwidth,3,3.5,1,10,88.6,9.19
minfrntwidth,3,3.5,3,23,87.78,6.75
maxfacewidth,3,3.5,1,8,112.5,4.44
maxfacewidth,3,3.5,3,21,109.57,5.7
mandwidth,3,3.5,1,10,79.2,8.43
mandwidth,3,3.5,3,23,78,6.88
maxcranlength,3,3.5,1,9,173,7.35
maxcranlength,3,3.5,3,22,172,6.63
cranbasewidth,3,3.5,1,11,124.68,4
cranbasewidth,3,3.5,3,24,121.74,4.73
upfacedepth_r,3,3.5,1,11,101.63,3.62
upfacedepth_r,3,3.5,3,24,100.97,3.25
upfacedepth_l,3,3.5,1,11,101.33,3.11
upfacedepth_l,3,3.5,3,24,100.83,3.48
midfacedepth_r,3,3.5,1,11,103.45,3.11
midfacedepth_r,3,3.5,3,24,102.45,3.16
midfacedepth_l,3,3.5,1,11,102.39,3.21
midfacedepth_l,3,3.5,3,24,101.96,3.63
lowfacedepth_r,3,3.5,1,9,110.82,4.15
lowfacedepth_r,3,3.5,3,21,108.22,4.18
lowfacedepth_l,3,3.5,1,9,109.9,4.22
lowfacedepth_l,3,3.5,3,21,108.13,4.21
morphfaceheight,3,3.5,1,9,92.42,6.66
morphfaceheight,3,3.5,3,21,92.07,5.59
upfaceheight,3,3.5,1,11,55.86,3.63
upfaceheight,3,3.5,3,24,56.27,3.43
lowfaceheight,3,3.5,1,9,55.33,4.99
lowfaceheight,3,3.5,3,21,55.24,4.17
incanthwidth,3,3.5,1,11,27.12,1.31
incanthwidth,3,3.5,3,24,27.96,2.04
outcanthwidth,3,3.5,1,10,72.83,2.6
outcanthwidth,3,3.5,3,23,72.9,3.42
palpfislength_r,3,3.5,1,10,24.11,1.91
palpfislength_r,3,3.5,3,23,23.61,1.73
palpfislength_l,3,3.5,1,10,23.39,1.57
palpfislength_l,3,3.5,3,23,23.01,1.55
nasalwidth,3,3.5,1,11,27.22,1.75
nasalwidth,3,3.5,3,24,26.96,1.64
subnasalwidth,3,3.5,1,11,15.84,1.77
subnasalwidth,3,3.5,3,24,14.91,2.49
nasalpro,3,3.5,1,11,13.48,1.12
nasalpro,3,3.5,3,24,13.76,1.24
nasalalalength_r,3,3.5,1,11,21.91,1.11
nasalalalength_r,3,3.5,3,24,21.93,1.28
nasalalalength_l,3,3.5,1,11,21.81,0.91
nasalalalength_l,3,3.5,3,24,21.85,1.14
nasalheight,3,3.5,1,11,39.48,2.79
nasalheight,3,3.5,3,24,39.62,2.76
nasalbdglength,3,3.5,1,11,31.83,2.63
nasalbdglength,3,3.5,3,24,32.03,2.77
labfiswidth,3,3.5,1,11,36.18,3.34
labfiswidth,3,3.5,3,24,34.84,3.01
philwidth,3,3.5,1,11,9.41,1.04
philwidth,3,3.5,3,24,9.38,1.08
phillength,3,3.5,1,11,12.28,2.07
phillength,3,3.5,3,24,12.4,1.86
uplipheight,3,3.5,1,11,17.13,1.68
uplipheight,3,3.5,3,24,17.26,1.84
lowlipheight,3,3.5,1,10,15.48,3.52
lowlipheight,3,3.5,3,22,14.98,2.75
upvermheight,3,3.5,1,11,6.37,2.57
upvermheight,3,3.5,3,24,6.63,1.91
lowvermheight,3,3.5,1,10,7.91,4.46
lowvermheight,3,3.5,3,22,7.77,3.48
cutlowlipheight,3,3.5,1,10,8.33,1.66
cutlowlipheight,3,3.5,3,22,8.12,1.73
maxcranwidth,3,3.5,2,13,133.85,4.98
minfrntwidth,3,3.5,2,13,87.15,4.38
maxfacewidth,3,3.5,2,13,107.77,5.78
mandwidth,3,3.5,2,13,77.08,5.59
maxcranlength,3,3.5,2,13,171.31,6.29
cranbasewidth,3,3.5,2,13,119.25,3.87
upfacedepth_r,3,3.5,2,13,100.41,2.93
upfacedepth_l,3,3.5,2,13,100.41,3.83
midfacedepth_r,3,3.5,2,13,101.61,3.07
midfacedepth_l,3,3.5,2,13,101.6,4.04
lowfacedepth_r,3,3.5,2,12,106.27,3.09
